StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2,Q2_8_TEXT,Q3,Q4,Q5,Q6,Q7_1,Q7_2,Q7_27,Q7_14,Q7_15,Q7_16,Q7_18,Q7_26,Q7_19,Q7_29,Q7_20,Q7_21,Q7_22,Q7_23,Q7_24,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q11,Q12,Q12_6_TEXT,Q13,Q14,Q14_3_TEXT,Q15_1_x,Q15_1_y,Q17,Q18,Q18_8_TEXT,Q26,Q26_4_TEXT,Q19,Q20,Q21,Q22,Q23,Q24,Q24_7_TEXT
2022-03-08 16:05:12,2022-03-08 16:06:22,IP Address,100,70,True,2022-03-08 16:06:23,R_1MKwJni7vQy2bxs,anonymous,EN,Drive alone,,07:00,08:00,Yes,"Parking availabliity,Cost,Convenience,Safety,Weather",1,2,3,4,,5,,,,,,,,,,Freshman,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,3300,3300,Bottom Right,Drive alone or with siblings,,Male,,Yes,"Yes, 1",Business,,"Yes, on campus",No college/post-secondary education,
2022-03-08 16:06:35,2022-03-08 16:07:47,IP Address,100,71,True,2022-03-08 16:07:47,R_3ISNTopyA2aH2lp,anonymous,EN,Drive alone,,07:00,08:00,Yes,"Parking availabliity,Cost,Privacy,Exercise",1,2,,,3,,,,,4,,,,,,Freshman,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Non-BYU-contracted housing (including with family),,,,Provo,,4,0,Fake Top Left,Drive alone or with siblings,,Male,,Yes,"Yes, 1",Business,,"Yes, on campus",No college/post-secondary education,
2022-03-08 16:08:06,2022-03-08 16:09:21,IP Address,100,74,True,2022-03-08 16:09:21,R_2Pu0vW7QHHhnpvS,anonymous,EN,Drive alone,,07:00,20:00,Yes,"Parking availabliity,Cost",1,2,,,,,,,,,,,,,,Freshman,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off-campus BYU-contracted housing,,,,Provo,,3300,0,Fake Top Right,Drive alone or with siblings,,Male,,Yes,"Yes, 1",Business,,"Yes, on campus",No college/post-secondary education,
2022-03-08 16:31:49,2022-03-08 16:40:17,IP Address,58,508,False,2022-03-15 17:31:56,R_3pUwKfkt3FeLAul,anonymous,EN,Motorcycle or similar,,23:00,06:06,Yes,Cost,,1,,,,,,,,,,,,,,Junior,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off-campus BYU-contracted housing,,,,Provo,,,,,,,,,,,,,,,
2022-03-23 12:32:04,2022-03-23 12:34:58,IP Address,100,174,True,2022-03-23 12:34:58,R_3wo76PcWXx7QhnH,anonymous,EN,Drive alone,,10:30,23:30,Yes,"Convenience,Flexibility,Travel Time",,,2,,,,3,,,,,,1,,,Senior,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,1631,1490,"Provo, UT, USA","Drive alone or with siblings,Walk",,Male,,No,No,Engineering,,"Yes, both on and off campus",Master's degree,
2022-03-23 19:49:56,2022-03-23 19:56:57,IP Address,100,420,True,2022-03-23 19:56:57,R_2qdzb82qVuEgunx,anonymous,EN,Drive alone,,11:45,15:30,Yes,"Convenience,Distance,Personal preference,Mode availabililty,Travel Time",,,2,,,,,1,,,5,3,4,,,Graduate student,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Non-BYU-contracted housing (including with family),,,,Provo,,670,1832,"Las Vegas, Nevada","Drive alone or with siblings,Dropped off by parent or guardian,School bus,Walk",,Female,,No,No,Humanities,,"Yes, on campus",Doctorate or professional degree,
2022-03-28 10:03:28,2022-03-28 10:06:40,IP Address,100,192,True,2022-03-28 10:06:40,R_2dLy6dPCSGvUFnS,qr,EN,Drive alone,,05:50,17:00,Yes,"Parking availabliity,Cost,Distance,Personal preference,Environmental concerns",1,2,,,,,,5,,,3,,,4,,Sophomore,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off-campus BYU-contracted housing,,,,Provo,,2938,1932,Spokane WA,"Carpool with peers,Dropped off by parent or guardian,School bus",,Female,,No,No,Life Sciences,,"Yes, on campus",Master's degree,
2022-03-28 10:03:34,2022-03-28 10:06:41,IP Address,100,187,True,2022-03-28 10:06:42,R_1pGcLfRMr3ngXuq,qr,EN,Walk,,08:57,10:04,Yes,"Convenience,Distance,Personal preference,Travel Time",,,1,,,,,2,,,4,,3,,,Senior,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2147,1990,Suburb,School bus,,Male,,No,No,Life Sciences,,"Yes, on campus",Bachelor's degree,
2022-03-28 10:03:00,2022-03-28 10:06:48,IP Address,100,228,True,2022-03-28 10:06:49,R_1mDZ9VC9fliLe21,qr,EN,"Bicycle, scooter, skateboard, etc.",,06:46,18:50,No,"Convenience,Flexibility,Distance,Mode availabililty,Travel Time",,,2,,,,4,5,,,,3,1,,,Junior,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,1970,1568,"Folsom,CA, USA",Walk,,Male,,No,No,Engineering,,"Yes, on campus",Master's degree,
2022-03-28 10:01:42,2022-03-28 10:07:44,IP Address,100,362,True,2022-03-28 10:07:45,R_2wvq2mKRN2lJVXJ,qr,EN,"Bicycle, scooter, skateboard, etc.",,08:00,14:00,Yes,"Parking availabliity,Distance,Health,Travel Time",2,,,,,,,4,3,,,,1,,,Junior,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,1825,1733,Henderson Nevada USA,"Drive alone or with siblings,Carpool with peers",,Male,,Yes,No,Engineering,,"Yes, off campus",Some college,
2022-03-28 10:05:34,2022-03-28 10:07:59,IP Address,100,144,True,2022-03-28 10:07:59,R_3I0gJ8h39JgSkbU,qr,EN,Walk,,08:50,15:15,No,"Convenience,Weather,Distance,Exercise",,,1,,,3,,2,,4,,,,,,Sophomore,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2612,2276,California,"Drive alone or with siblings,Carpool with peers,Walk",,Male,,No,No,Physical and Mathematical Sciences,,No,Doctorate or professional degree,
2022-03-28 10:09:18,2022-03-28 10:11:33,IP Address,100,135,True,2022-03-28 10:11:34,R_3PYrsA0SGIteTIG,qr,EN,Carpool,,09:00,17:00,Yes,Convenience,,,1,,,,,,,,,,,,,Senior,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off-campus BYU-contracted housing,,,,Provo,,2063,1537,Atlanta GA,Carpool with peers,,Male,,No,No,Fine Arts and Communications,,"Yes, on campus",Bachelor's degree,
2022-03-28 10:10:37,2022-03-28 10:13:02,IP Address,100,145,True,2022-03-28 10:13:03,R_vMN35DgkeqdzQnn,qr,EN,Drive alone,,06:40,21:00,Yes,"Parking availabliity,Convenience,Distance",3,,1,,,,,2,,,,,,,,Sophomore,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2640,2310,"Maple grove, mn ",Drive alone or with siblings,,Female,,No,No,International and Area Studies,,"Yes, off campus",Master's degree,
2022-03-28 10:10:18,2022-03-28 10:13:27,IP Address,100,189,True,2022-03-28 10:13:27,R_2a9sd8bliuHBh8X,qr,EN,Drive alone,,07:50,15:00,Yes,"Convenience,Flexibility,Distance,Mode availabililty,Travel Time",,,2,,,,5,1,,,,3,4,,,Senior,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Non-BYU-contracted housing (including with family),,,,Orem,,,,Missouri,"Drive alone or with siblings,Carpool with peers,School bus",,Male,,Yes,No,Humanities,,"Yes, off campus",Bachelor's degree,
2022-03-28 10:11:30,2022-03-28 10:13:53,IP Address,100,143,True,2022-03-28 10:13:54,R_1l3u7weBeZQQbsh,qr,EN,Walk,,07:00,14:00,No,"Weather,Distance,Exercise,Personal preference,Mode availabililty",,,,,,5,,2,,3,4,1,,,,Senior,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2797,2100,"Charleston, Illinois","Drive alone or with siblings,Dropped off by parent or guardian",,Female,,No,No,Life Sciences,,"Yes, on campus",Doctorate or professional degree,
2022-03-28 10:12:33,2022-03-28 10:15:38,IP Address,100,184,True,2022-03-28 10:15:43,R_0wd1P7qnZjNepoZ,qr,EN,"Bicycle, scooter, skateboard, etc.",,08:41,12:01,No,"Convenience,Distance,Health,Exercise",,,1,,,,,2,4,3,,,,,,Senior,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2753,2357,"Logandale, NV",Drive alone or with siblings,,Female,,No,No,"Family, Home, and Social Sciences",,"Yes, on campus",Master's degree,
2022-03-28 10:14:53,2022-03-28 10:17:55,IP Address,100,182,True,2022-03-28 10:17:56,R_2DYntgpxOtHAIi1,qr,EN,Walk,,08:50,08:30,No,"Cost,Convenience,Flexibility,Mode availabililty",,2,3,,,,4,,,,,1,,,,Junior,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,1660,1887,"Torinto, Ontario, Canada ","Drive alone or with siblings,Carpool with peers,Dropped off by parent or guardian,Public transportation",,Female,,No,No,"Family, Home, and Social Sciences",,No,Doctorate or professional degree,
2022-03-28 10:17:27,2022-03-28 10:21:34,IP Address,100,247,True,2022-03-28 10:21:35,R_RKcBBp9zeLGZ56h,qr,EN,Walk,,08:50,17:00,Yes,"Convenience,Distance,Health,Exercise,Personal preference",,,2,,,,,1,4,3,5,,,,,Junior,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2235,2244,"Firestone, CO, USA ","Carpool with peers,School bus,Walk",,Female,,No,No,Life Sciences,,"Yes, on campus",Master's degree,
2022-03-28 10:16:17,2022-03-28 10:23:16,IP Address,100,418,True,2022-03-28 10:23:16,R_UmWij6BSXbuDEUV,qr,EN,Walk,,08:20,15:00,Yes,"Parking availabliity,Cost,Convenience,Distance,Personal preference",3,2,4,,,,,1,,,5,,,,,Junior,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2374,2108,"Twin Falls, ID, US","Drive alone or with siblings,Dropped off by parent or guardian,Walk",,Female,,No,No,Engineering,,No,Doctorate or professional degree,
2022-03-28 10:23:14,2022-03-28 10:26:39,IP Address,100,205,True,2022-03-28 10:26:40,R_3QPOMbVRZIaLEm4,qr,EN,Carpool,,10:07,16:30,Yes,"Convenience,Distance,Mode availabililty",,,3,,,,,1,,,,2,,,,Junior,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Non-BYU-contracted housing (including with family),,,,Orem,,,,"Idaho Falls, Idaho, United States","Bicycle, scooter, skateboard, etc.",,Female,,Yes,No,Fine Arts and Communications,,"Yes, off campus",Master's degree,
2022-03-28 10:24:43,2022-03-28 10:28:47,IP Address,100,243,True,2022-03-28 10:28:47,R_3fNzTsApIwLB3fE,qr,EN,Walk,,07:30,14:00,Yes,"Parking availabliity,Cost,Convenience,Distance,Exercise",1,2,3,,,,,5,,4,,,,,,Freshman,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Non-BYU-contracted housing (including with family),,,,Orem,,,,"Roswell, NM, USA",Walk,,Male,,No,No,Business,,"Yes, on campus",Master's degree,
2022-03-28 10:26:53,2022-03-28 10:29:52,IP Address,100,178,True,2022-03-28 10:29:52,R_w0i4qbtSi6i8H4J,qr,EN,Walk,,09:50,12:50,Yes,"Parking availabliity,Distance",2,,,,,,,1,,,,,,,,Senior,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2699,1635,"St Louis Mo ",School bus,,Male,,No,No,Fine Arts and Communications,,"Yes, on campus",Doctorate or professional degree,
2022-03-28 10:26:53,2022-03-28 10:30:58,IP Address,100,244,True,2022-03-28 10:30:58,R_Agnuw630CXxtOKZ,qr,EN,Walk,,07:30,07:15,No,"Cost,Convenience,Distance,Exercise,Travel Time",,3,1,,,,,4,,2,,,5,,,Sophomore,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2067,1881,"Edmonton AB Canada ",School bus,,Female,,No,No,Other/Undeclared,,No,Master's degree,
2022-03-28 10:31:07,2022-03-28 10:33:22,IP Address,100,134,True,2022-03-28 10:33:23,R_3qfe3gBx1I83lPa,qr,EN,The Ryde shuttle bus,,09:00,14:12,Yes,"Parking availabliity,Convenience",2,,1,,,,,,,,,,,,,Sophomore,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,1676,1200,"Montana ",Drive alone or with siblings,,Male,,No,No,International and Area Studies,,"Yes, off campus",Master's degree,
2022-03-28 10:30:34,2022-03-28 10:34:02,IP Address,100,207,True,2022-03-28 10:34:02,R_z68wLp7u6MsJiOR,qr,EN,Walk,,09:00,10:30,No,"Convenience,Distance,Health,Exercise,Personal preference",,,5,,,,,2,3,4,1,,,,,Junior,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2555,2423,"Las Vegas ",Drive alone or with siblings,,Female,,No,No,Life Sciences,,"Yes, both on and off campus",Master's degree,
2022-03-28 10:30:19,2022-03-28 10:34:49,IP Address,100,269,True,2022-03-28 10:34:49,R_2CVeBOduawdBhjN,qr,EN,Walk,,09:00,11:31,Yes,"Parking availabliity,Cost,Distance,Travel Time",3,4,,,,,,2,,,,,1,,,Sophomore,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2612,2376,"Las Vegas ",Drive alone or with siblings,,Male,,No,No,Life Sciences,,"Yes, off campus",Bachelor's degree,
2022-03-28 10:32:48,2022-03-28 10:37:34,IP Address,100,285,True,2022-03-28 10:37:34,R_1gd343CM1qqbBSd,qr,EN,Walk,,09:15,12:50,Yes,"Convenience,Weather,Flexibility,Distance,Mode availabililty",,,5,,,2,3,4,,,,1,,,,Junior,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off-campus BYU-contracted housing,,,,Provo,,2768,2177,"Beaverton, OR, USA",Drive alone or with siblings,,Female,,No,No,"Family, Home, and Social Sciences",,"Yes, off campus",Bachelor's degree,
